#StationName  TWD97 - 250000 meters					WGS84(latitude,longitude)
外店	74741.587759861417,2768746.8577950168	25.024963,121.740592
茶園圃	74908.404592564,2768805.261400173	25.025482,121.742248
嶺腳社區	75048.5047324357,2768950.0329660596	25.026782,121.743644
嶺腳寮	75742.708662034463,2769556.4831827679	25.0322222,121.7505556
嶺腳寮	75361.884937005074,2769205.75677832	25.029075,121.746763
慈航宮	75393.524601046331,2769114.3341773786	25.0282481,121.7470715
慈航宮	75289.351355853883,2739807.0722037232	24.7636749,121.7444509
電信局	11064.350684603125,2762645.3730236562	24.971681,121.109588
白鶯石	75932.897309210544,2768482.8084866265	25.02252,121.752381
東勢格	74265.849045642972,2766565.7273075283	25.005296,121.735761
大法寺	75738.844594010108,2768858.787813799	25.0259239,121.750479
九華山	73767.64289314815,2782253.7093363823	25.1469444,121.7316667
九華山	-24398.108215422009,2704860.3076366289	24.449804,120.759352
萬寶洞	76686.824481152144,2769404.3199240821	25.030801,121.759902
慶和站	76989.4631519157,2769678.63191272	25.033262,121.762916
平溪圳口	77237.331619701334,2769552.8643059623	25.032114,121.765365
南山里	50856.563869796104,2765484.6810640432	24.9965027,121.5038112
南山里	15845.566516698404,2743028.071978075	24.794524,121.1567203
南山社區	78298.600740259644,2770457.2697534063	25.040224,121.775932
十分寮	78343.907837806255,2770985.8043565871	25.044993,121.776411
十分瀑布	79412.192537168376,2771391.3114298303	25.048598,121.7870206
自強農場	79497.000757707923,2772239.773104406	25.056253,121.78791
野人谷	80342.686504587517,2772309.7488115551	25.05684,121.7962952
同樂里	-32304.57271312111,2677246.2516646604	24.200331,120.681991
同樂里	73885.508621092056,2739886.7983298223	24.764463,121.730575
頂泰山巖	42731.791997474182,2770691.9296226637	25.0437651,121.4234862
捷運台北１０１世貿站(信義)	56773.376265874336,2769543.2347754752	25.032933,121.562591
信義行政中心	57235.57964342428,2769555.5419708551	25.0330267,121.5671715
泰山區衛生所	39335.201972494076,2774629.27814839	25.079404,121.389938
台麗街口	42982.348915012983,2770000.930011651	25.0375196,121.4259477
三泰路口	43335.75911751781,2770259.952930544	25.039848,121.429458
新生路口	24663.866500898886,2747212.557651096	24.832187,121.244011
民生路口	-2133.4186119555779,2744618.174464664	24.808961,120.978897
三鈴汽車	47232.692040589427,2772660.7712308057	25.061406,121.468158
備內街	41219.813830490857,2764638.2352180211	24.9891535,121.4083215
文化街口	42015.511134352069,2764721.2351372303	24.989881,121.416206
家樂福公司	42608.255748552343,2765544.7198064672	24.997299,121.422103
大安俊英街口	43237.23407254574,2766241.1441718559	25.0035686,121.4283557
大安俊英街口	43056.493697858336,2766612.3679143172	25.0069252,121.4265767
大安俊英街口	43096.401192018151,2766097.414326746	25.002275,121.426956
西門市場	-3562.8727855078355,2743976.2889904091	24.803163,120.964759
民安	43372.746161931384,2768351.1504173637	25.0226141,121.4297645
民安	30273.344125377633,2765511.0243716417	24.9972913,121.2999068
民安	10114.826694427477,2756748.3352249586	24.9184466,121.1001403
民安	48320.895997218577,2765831.0961058415	24.9997131,121.4787044
民安	32953.9570840806,2764743.1342699276	24.9903027,121.326444
民安	20580.511420977782,2772989.576940835	25.0649724,121.2039957
民安	47114.50818505029,2767126.6128845187	25.0114471,121.4667975
民安	42529.446638355774,2761971.9971775045	24.9650461,121.4212124
民安	-12120.743064489057,2731974.1930606812	24.6947562,120.8802156
民安	-951.93313247818321,2750947.5321810236	24.8661073,120.9905795
民安	-17167.711935580708,2682258.3799694036	24.245825,120.8309391
民安	48213.877817748362,2629398.9184820731	23.7678964,121.4730374
民安	-4078.022328454836,2727984.4936025082	24.6587765,120.9597101
民安	-50581.888005109417,2638687.7449309258	23.8516966,120.5034113
民安	-62999.243780207551,2643893.0022342657	23.8982547,120.3812853
民安	-66830.3703529654,2629788.6546290941	23.7707481,120.3443023
民安	-60118.276855405646,2582862.4039392127	23.3472877,120.4120427
民安	39126.722602344809,2555475.8482520035	23.1006158,121.3819601
新樹民安路口	43894.681829239853,2768321.27036583	25.0223293,121.4349351
北華	44132.794748644708,2768777.2496037139	25.026439,121.437309
北華	50159.873056006028,2768781.05872348	25.0262857,121.4970294
北華	31256.492609913574,2765821.4113892992	25.0000736,121.3096534
北華	52022.053392622875,2758667.1952874139	24.9349145,121.5151005
北華	-2998.00314468541,2745477.0500301472	24.816714,120.970343
北華	49447.684073192133,2775293.2298229439	25.0851009,121.4902064
北華	34629.621584110588,2760815.8121284512	24.9548085,121.3429447
北華	46251.420107496182,2766371.9127624524	25.0046602,121.4582212
北華	-2992.4264242636291,2745554.5801949194	24.817414,120.970398
北華	53446.133410482922,2760619.97244611	24.9524949,121.529276
北華	51303.002949163041,2764077.9348660246	24.9837875,121.5081815
北華	46968.307628190407,2765514.5932800313	24.9968982,121.4652942
北華	49226.697811695922,2775036.6355524119	25.0827916,121.4880065
北華	52727.5497169332,2777275.2731073494	25.1028836,121.5227968
北華	47082.999865607038,2765491.837374222	24.9966892,121.4664296
北華	50284.8910525522,2770038.3190228455	25.0376321,121.498314
北華	51064.6561944722,2758098.4318622132	24.9298121,121.5056001
北華	46292.462247197407,2766482.2410384836	25.005655,121.4586315
北華	52514.135636050363,2761559.9964719363	24.961014,121.5200824
北華	49582.544516296693,2775148.4928570273	25.0837898,121.4915381
北華	50485.529194334915,2769567.8469144073	25.033378,121.500285
北華	-33635.188290209968,2672887.9428408421	24.160951,120.668994
北華	-33862.410486081215,2672884.5945771723	24.1609159,120.666758
北華	-33119.885361897352,2673008.5600893265	24.162051,120.6740623
北華	-30867.036842973081,2673034.9570942032	24.1623351,120.6962321
北華	-31520.467984955107,2672743.442400476	24.15969,120.689808
北華	-33672.463770429065,2672779.5279568764	24.1599713,120.6686297
北華	-81429.704373647837,2544614.4273124207	23.001,120.205671
北華	-80930.9188275286,2544427.5669593117	22.999337,120.210546
北華	-81972.125510319631,2544650.0783275254	23.0012953,120.2003783
石龜	44253.314475993437,2769114.0340537461	25.029476,121.438514
新樹路口	44484.575402154122,2769499.9167430615	25.032953,121.440818
菜寮	-49563.882024594532,2652707.1924226857	23.978315,120.512931
三峽	37031.47524850355,2758443.3916762904	24.933333,121.366667
國家教育研究院	53771.261505032191,2768811.2268402912	25.0264341,121.5328143
國家教育研究院	38067.397614506866,2758843.6330034249	24.9369209,121.376935
龍埔	38092.147374082335,2758837.7204588875	24.9368669,121.3771799
三樹路口	38438.104444511016,2759615.3689242094	24.943879,121.380627
北柑園	39771.23431187286,2761117.8016017126	24.957409,121.393871
北園	39524.972050987664,2761670.9085404	24.962409,121.391448
北園	24455.343864360992,2763810.8928991971	24.982047,121.2422404
北園	33296.180951049268,2760095.297442772	24.9483333,121.3297222
北園	56438.86298068965,2770735.3485888853	25.0437078,121.5593251
北園	-51803.659900401857,2669802.05417657	24.1325957,120.490312
北園	-79699.1778748147,2545739.3178240717	23.0112414,120.2224925
北園	-79443.507469367047,2545400.4846802619	23.008194,120.225004
北園	38956.6217013827,2760232.6767086904	24.949439,121.3857788
北園	39490.20926532548,2761515.9051337312	24.9610105,121.3910993
北園	49309.655850124487,2794797.7245375481	25.2611889,121.4895408
北園	39679.817278640141,2762590.5635756147	24.9707078,121.3930079
北園	50154.7217933181,2768617.1831217106	25.0248064,121.4969724
北園	56074.350282849387,2782757.602506252	25.1522563,121.5562034
北園	45799.657885154389,2766962.201515893	25.0100031,121.4537652
北園	49981.097599477558,2769010.5763398046	25.0283637,121.4952663
北園	37800.68345467488,2760525.9782424732	24.9521162,121.37434
北園	40286.3322991826,2761058.2855751831	24.9568581,121.3989704
北園	61825.369427843616,2772453.3135436089	25.0590067,121.6127817
北園	58224.466294366845,2771957.8384084078	25.0546766,121.5770719
北園	50390.221180130167,2769935.1514524873	25.0366972,121.499354
北園	-79615.8946301514,2545873.0639213584	23.0124531,120.223298
北園	37124.923749329326,2757413.8136832761	24.9240354,121.3675647
北園	57829.929597114809,2773899.458557297	25.0722204,121.5732433
北園	-79715.698736655977,2545610.677425995	23.010079,120.222338
北園	-79750.2392820956,2545882.3037606375	23.0125301,120.221987
北園	38407.284323256135,2773474.960990645	25.0690066,121.3807073
北園	-79579.901843941858,2545681.6084364662	23.010726,120.223659
北園	38013.769533986168,2773666.7675275137	25.0707482,121.376812
北園	-79535.609966905016,2546069.9832489733	23.0142351,120.224071
柑園橋	39661.748143516154,2761825.154615806	24.963798,121.392807
育德	39658.560437012064,2762647.5676465323	24.971223,121.392799
中洲街口	40099.957339708752,2762897.9606601736	24.973472,121.397178
富國路口	42119.525964603985,2768709.2010862241	25.025882,121.417358
教育研究院	38141.469132211532,2758900.782069419	24.937435,121.37767
教育研究院	53771.261505032191,2768811.2268402912	25.0264341,121.5328143
教育研究院	38067.397614506866,2758843.6330034249	24.9369209,121.376935
貿商國宅	43399.339027806534,2773526.747749296	25.069339,121.430191
中興北街	47322.432412651695,2771902.4430531464	25.054557,121.4690214
陞泰科技	47314.869313875053,2772151.53039217	25.056806,121.468955
新北大道中興北街口	47328.77372436408,2772593.5365916789	25.060796,121.469108
安國宮	47232.6756481585,2771674.1751031927	25.052499,121.468124
員林里	44916.815207998377,2763429.0580709125	24.9781319,121.4449037
員林里	26968.322504213847,2753335.3943642345	24.8874278,121.2669285
新泰泳池	44536.277110063209,2771130.2241221112	25.04767,121.441383
水碓圖書館	44760.970888989854,2785580.9239518186	25.1781239,121.4440809
臺北醫院一	53456.735093295625,2767696.3539282484	25.0163802,121.5296546
臺北醫院一	52680.631985170054,2778784.007426905	25.1165059,121.5223895
臺北醫院一	52043.613588339686,2770407.3240976492	25.040904,121.515756
臺北醫院一	45685.648139509743,2765732.9784130454	24.998909,121.452595
臺北醫院一	57230.244655320341,2772063.8148926795	25.0556713,121.5672228
臺北醫院一	44194.897253766139,2784871.1529181995	25.1717329,121.438442
臺北醫院一	58077.600976929811,2770407.3893408664	25.040685,121.575551
臺北醫院一	47636.183536556229,2780069.9386161212	25.128283,121.472414
臺北醫院一	47898.952032176167,2787311.1474859104	25.1936474,121.4752731
臺北醫院一	47992.762747285182,2769553.8683642689	25.0333329,121.4755832
臺北醫院一	47011.6399864333,2768018.0447795396	25.0194982,121.4658087
臺北醫院一	48656.780230522891,2784832.2208036012	25.1712437,121.4827042
館前西路	45965.883100461884,2766780.361619812	25.0083564,121.455406
終點站蘆洲總站	46992.172594753509,2775732.0527460468	25.089141,121.465879
大同橋一	37183.66283565732,2756964.2196697858	24.9199749,121.3681342
大同橋一	34231.666465875242,2765510.139913715	24.9971991,121.3391199
大同橋一	-54503.935986441225,2598246.3040754083	23.4863988,120.4663922
大同橋一	-3036.8138712180744,2743948.9055100111	24.8029169,120.9699624
大同橋一	37276.7770337723,2756962.1571273236	24.919954,121.369056
大同橋一	37332.2725743678,2756979.97454611	24.9201135,121.3696059
大同橋一	58415.504394665913,2725816.0909497337	24.6380966,121.57703
溪墘寮	48084.265491261329,2774883.1780909006	25.081443,121.476676
大埔國小	-11089.890215949063,2733503.9897899455	24.7085761,120.890391
大埔國小	37017.07700820941,2755353.7328923256	24.905439,121.366442
大埔國小	37896.623254111757,2769166.1502247741	25.030119,121.375527
大埔國小	-41775.124582141558,2576941.2793914904	23.29439,120.591598
二橋	-34780.931084228883,2682284.4345942913	24.2457687,120.6574922
二橋	-44880.446320755851,2621349.8473472539	23.695313,120.559911
二橋	37350.17476208329,2754633.569095531	24.898929,121.36972
二橋	34155.382607747284,2758930.8772469452	24.9378015,121.3382018
陽明區	51801.823148087904,2779500.1619351986	25.1230017,121.5137024
春暉啟能中心	37690.342705134033,2753963.4975202987	24.892871,121.373069
互助橋	37835.878129658588,2753760.6478384403	24.891036,121.374504
合作橋	38127.787817017706,2752984.0116783013	24.884017,121.377372
醒心橋	38413.323667455756,2752533.1386575461	24.8799392,121.3801856
湊合	38415.137723689841,2752802.6067133467	24.882372,121.380211
十八洞天	38597.348483858477,2752140.3139452026	24.876388,121.381996
金敏	38948.120441860941,2751693.6003395068	24.872346,121.385455
慈蓮寺	61189.305482143878,2646510.717187962	23.921961,121.6010494
大義橋	39621.081126030847,2751871.9657087387	24.873939,121.39212
金龍橋頭	40164.669862287134,2751849.0627353787	24.873718,121.397499
插角一鄰	40379.047337019561,2751828.5343304351	24.873527,121.39962
利豐煤礦	40698.401918899028,2751743.0800465159	24.872747,121.402778
插角國小	40953.056604414691,2751679.2385639106	24.8721638,121.4052963
插角(大板根)	41137.033233617112,2751509.8993281093	24.87063,121.407112
東眼橋	41655.109245581683,2751298.6045117304	24.8687083,121.4122327
大德橋	41959.973347055355,2751143.6538886107	24.867301,121.415245
紅松	42450.242879448124,2751087.5601508175	24.866781,121.420095
悠峽山莊	42634.184181300909,2750752.1848730869	24.863748,121.421905
東鹿	43153.353233418857,2750669.9546106551	24.862991,121.42704
東鹿	-52706.369752520521,2595657.2331465008	23.4630792,120.4840812
東鹿	1938.4155127334718,2745337.6917238557	24.8154575,121.0191751
有木下站	43394.638226096191,2750680.4599933871	24.863079,121.429428
有木	43691.213016807342,2750718.6141367964	24.863415,121.432364
佛山(花岩山林)	43836.396288287542,2750442.8327568807	24.860921,121.433792
有木六鄰	44028.967636652655,2750013.3546137693	24.857038,121.435684
有木國小	44158.876723956921,2749651.6865718872	24.853769,121.436958
雙溪	84196.110862851536,2767113.5215272265	25.009722,121.834167
蜜蜂世界	45305.67717142035,2748622.767119078	24.844446,121.448272
熊空	45547.442150992414,2748743.2987394505	24.845527,121.450668
熊空	46271.287675621606,2747150.5019187462	24.831125,121.457777
大寮埔	-45301.10214969152,2584959.9773445646	23.366706,120.556888
大寮埔	45405.784656992939,2748914.8461450995	24.84708,121.449272
東峰橋(樂樂谷)	45062.461151426047,2748975.6356532406	24.847639,121.445877
清水橋	61864.191082505924,2725432.5291382722	24.6344991,121.6110779
清水橋	13102.543980466946,2750514.1158161387	24.8621382,121.1296609
清水橋	-25995.31799600973,2675659.0496911211	24.1861167,120.7441279
清水橋	70033.562530693758,2679589.3930993471	24.2202588,121.6895149
清水橋	-22555.503174215675,2636118.3307239469	23.8291368,120.7785977
清水橋	-57591.2327047111,2643612.6740553966	23.895928,120.4344062
清水橋	-43981.441409013081,2596364.6250544586	23.469726,120.5694628
清水橋	-42304.113244061824,2610465.4045696533	23.5970989,120.5854832
滿月園停車場	44982.485294839724,2747715.5580602838	24.836265,121.445045
埔頭站	-10114.199055834914,2661702.1249568262	24.060276,120.900543
瑞柑新村	82834.27557702543,2777877.8328114487	25.1069706,121.8213233
粗坑口	-13006.171142652067,2651072.030356911	23.96427,120.8722
弓橋里	84930.322660457314,2776637.0441267416	25.0956531,121.8420277
廟口	29993.054071148523,2771991.0474180407	25.0558,121.297271
福利社	-24095.365123806539,2667797.4478124515	24.115162,120.76296
介壽橋頭	83649.031294764471,2775838.2847487545	25.088514,121.829277
猴硐車站	83463.031098426029,2775670.4284866033	25.087009,121.827423
內店站	83254.575695768843,2775395.9833731437	25.084543,121.82534
復興橋頭	37132.053602875509,2744024.537279997	24.803152,121.367278
猴硐活動中心	83262.137127613736,2775165.5076132184	25.082462,121.825401
醫護所	83308.406981935375,2775270.3615086186	25.083406,121.825866
名萊新城	61868.952129721431,2660848.1917213574	24.051389,121.608333
迴龍社區	41346.273318409847,2768005.9193118196	25.019554,121.409675
迴龍社區	41259.039787868904,2767913.1560009974	25.0187189,121.4088079
長安街(一)	46861.68699681099,2774575.7527738959	25.078706,121.464546
長安街(一)	47026.61440390112,2766812.6110394686	25.008615,121.465916
長安街(一)	69589.349612067017,2774546.3021857049	25.077564,121.689836
長安街(一)	22003.618061867775,2760781.2555363919	24.9547319,121.217907
長安街(一)	-3493.0693582851777,2744151.2702474291	24.804743,120.965449
長安街(一)	32034.496573946381,2764489.5523922066	24.988033,121.31733
長安街(一)	-9205.4440113893688,2731560.4670790718	24.691041,120.909029
長安街(一)	-75013.2810167031,2502608.3815249684	22.621978,120.270281
大同區公所	51968.97760047546,2773193.6079027383	25.066061,121.5151215
大仁路	-73680.952876371608,2503065.9421059303	22.6261684,120.2832195
三峽區公所	37271.362516119909,2758547.3829552429	24.934266,121.369045
中園國小	37016.071284617952,2757788.6297403658	24.927422,121.366497
中園橋	37124.923749329326,2757413.8136832761	24.9240354,121.3675647
中園街	37115.629813086947,2757380.759043884	24.9237372,121.3674718
中園街	19582.567292736469,2772410.0784263778	25.0597538,121.1940958
中園街	-43891.345662620166,2676963.8997804681	24.1975009,120.5679406
幸福路口	46423.77577333471,2771401.6848506154	25.050064,121.460098
實踐成都路口	46831.557037640741,2766449.3507944541	25.0053415,121.4639712
益華紡廠	46171.6207493569,2765156.1929768845	24.993687,121.45739
中信國小	45202.892369941976,2772061.9627221706	25.056062,121.44802
士林區行政中心	52410.4974461011,2776137.0950793191	25.0926193,121.5196099
捷運士林站	53077.750490201644,2776241.10787608	25.093535,121.526229
士林官邸	53472.8561478083,2776393.6293728757	25.094898,121.530152
外雙溪	56395.548356050589,2777983.9765078467	25.109149,121.559193
外雙溪	53850.580243411321,2777353.4162720782	25.1035494,121.5339344
台電台北北區分處	51404.581953308523,2770288.034158288	25.0398489,121.5094189
台電台北北區分處	36434.474733936418,2773958.7101035551	25.0734228,121.3611652
台電台北北區分處	46323.72637257669,2765938.5993869966	25.000746,121.458923
台電台北北區分處	37733.706573846837,2775506.9655650305	25.0873687,121.3740864
台電台北北區分處	53304.7167442445,2768176.90937084	25.020724,121.528167
台電台北北區分處	35938.337121496457,2774544.5484604719	25.0787237,121.3562625
台電台北北區分處	38918.404617722874,2775605.3668599697	25.088227,121.3858339
台電台北北區分處	38707.28327246273,2775719.1200970714	25.0892594,121.3837441
台電台北北區分處	36074.281525145452,2773380.5450078161	25.0682117,121.3575796
台電台北北區分處	36288.658641571237,2773936.4674058016	25.0732255,121.3597192
台電台北北區分處	37192.610009992364,2774577.5194657478	25.078991,121.368697
台電台北北區分處	36782.119320337821,2774285.8909659409	25.0763682,121.36462
台電台北北區分處	37156.310739179462,2774530.6997075821	25.0785692,121.3683359
台電台北北區分處	36952.351069064527,2774286.8274659887	25.0763725,121.3663075
台電台北北區分處	38810.636176264641,2775442.0014941259	25.0867549,121.3847609
台電台北北區分處	38187.06453314767,2776038.0752911367	25.0921522,121.3785956
台電台北北區分處	38707.28327246273,2775719.1200970714	25.0892594,121.3837441
台電台北北區分處	37246.15694710688,2774687.8771037776	25.079986,121.3692308
台電台北北區分處	38838.056719737884,2775564.5974510582	25.087861,121.3850362
台電台北北區分處	37318.435786007991,2774606.5293120993	25.0792498,121.3699451
台電台北北區分處	36941.28270762899,2774455.09417096	25.0778919,121.3662023
台電台北北區分處	36905.016232449489,2774414.35620678	25.077525,121.3658417
台電台北北區分處	54143.8894424749,2767164.5739816707	25.0115549,121.5364419
台電台北北區分處	53597.442634277322,2767832.904245472	25.017608,121.531054
台電台北北區分處	53357.5675744906,2768056.60120623	25.019636,121.528686
台電台北北區分處	53261.404029221783,2768180.7281721164	25.02076,121.527738
台電台北北區分處	53227.580533719789,2768209.9496562523	25.021025,121.527404
台電台北北區分處	53399.1124359032,2768117.9067036831	25.020188,121.5291
台電台北北區分處	53275.336815700517,2768231.2921389709	25.021216,121.527878
捷運劍潭站	52965.281141469844,2775281.1994669586	25.084873,121.525077
電力公司	65734.1718004398,2774006.1103728423	25.07286,121.651596
凱旋大地	65588.005147038784,2774295.956615055	25.075483,121.650161
金龍湖	63835.462145402271,2774049.5189293069	25.0733333,121.6327778
松山前站	58279.60652350969,2771121.4856465133	25.047124,121.577583
松山前站	58385.358643871259,2771239.01938165	25.048181,121.578636
松山前站	52407.385256154361,2775480.0865309257	25.086688,121.519554
松山前站	51976.699856036008,2770754.6559596127	25.044042,121.515106
松山前站	55690.483975109186,2772869.2303224979	25.063,121.551995
松山前站	56044.353966591865,2772147.5861196709	25.056472,121.555473
松山前站	55639.411828257143,2772898.9293121393	25.06327,121.55149
五分埔商圈(中坡北路)	58580.965416371808,2771132.9658357059	25.047216,121.58057
林子	44693.9561519308,2787742.6165322363	25.1976414,121.4434867
義山里	44617.699074686505,2788690.8841572604	25.2062045,121.442761
下奎柔山	45244.487661905558,2788728.6842444	25.206527,121.448982
下奎柔山	43477.81974408641,2788881.4788788077	25.2079586,121.4314558
英光工廠	45284.215902653559,2789023.3498939797	25.209186,121.449386
洲子灣	45359.129901475491,2790064.9344450482	25.218587,121.450164
洲子灣	-51888.593624274828,2492591.3534350386	22.532381,120.495556
後洲子	-60955.13504780698,2641717.0504330271	23.878687,120.40145
後洲子	45516.428052334581,2790633.0400926811	25.223711,121.451744
聖約翰科技大學	45399.760761569123,2790926.982941167	25.2263682,121.4505959
阿柔洋	61286.605226574888,2765769.8045884455	24.998691,121.607145
福安居	62177.774786330432,2765789.6643868117	24.998834,121.615974
昇高坑口	62910.95338854078,2765965.0384934614	25.000387,121.623245
文山路一段31巷	57973.972424285188,2764762.9951401455	24.9897319,121.574287
烏月路口	63649.296835053283,2766501.9143659887	25.005203,121.630584
三芝	50430.533819830009,2794624.3048354494	25.259586,121.500662
三芝	52920.01814989376,2792095.0748494458	25.236667,121.525278
古庄	-12418.88992366327,2471962.8459897265	22.346823,120.879427
福成橋頭	49754.959581420415,2794671.8705481668	25.260038,121.493957
四棧橋	49382.735625720205,2794734.0881148195	25.260612,121.490264
茂興	48977.918900931945,2794896.5551521671	25.262092,121.486251
車路崎	48472.514347931909,2795135.3258087528	25.264264,121.481242
南勢崗	36043.176083936509,2773599.0353720314	25.070185,121.357277
錫板	48074.427528146414,2794601.3244378124	25.259456,121.477271
北勢溪口	47921.300008580816,2794236.5708866729	25.256168,121.475738
後厝	38118.242463121082,2771009.0067361239	25.046751,121.377774
佛朗明哥	47540.123215105494,2793807.32370874	25.252305,121.471939
大崛	47258.761478847482,2793606.9532031165	25.250505,121.469139
大崛	12241.903461055324,2768054.4509496661	25.0205071,121.1212991
牛車寮	46580.453938319537,2793355.3703405024	25.248255,121.462397
大片頭	46836.429734499638,2792803.2943682522	25.243263,121.464919
參觀台	46058.975857513942,2792482.1655083573	25.240388,121.457191
大屯橋	-79409.1181512583,2570500.0305495714	23.2348387,120.2240373
灰瑤子	45535.393171123193,2791645.3080316829	25.232849,121.451966
夏威夷社區	45480.971592424721,2791349.9264891082	25.230184,121.451416
興化店	45391.4372417534,2790076.23025734	25.218688,121.450485
東元廠	45501.844115025626,2789695.1138446755	25.215244,121.451568
下圭柔山	44951.443526956311,2789061.2327280287	25.209538,121.446085
育英國小	44820.383774440517,2787706.657508926	25.197313,121.44474
育英國小	-24421.592298847805,2697410.3581478368	24.382538,120.759248
育英國小	-3863.53755829979,2650860.891391058	23.962412,120.962037
育英國小	-43350.753810820519,2649828.9547572136	23.952508,120.574072
育英國小	84241.3140764726,2726130.7639780468	24.6397421,121.832139
育英國小	-73635.961721210871,2613379.0084828865	23.622284,120.278349
捷運北投站	50278.478864699791,2780473.4484967	25.13184,121.498632
捷運芝山站	52698.850909896304,2777294.5907425247	25.103059,121.522513
五股民眾服務社	44016.343106000466,2774813.1689847708	25.080935,121.436348
水尾	26993.973067566472,2772736.0985904164	25.062583,121.267561
東林里1鄰	-55412.703541278061,2611456.4204218355	23.6056515,120.4570058
東林里2鄰	-55412.703541278061,2611456.4204218355	23.6056515,120.4570058
東林里4鄰	-55412.703541278061,2611456.4204218355	23.6056515,120.4570058
東泰宮	40784.532450929153,2775632.865530557	25.088426,121.404335
粉寮北58號路口	40697.968492225715,2775463.0131476438	25.0868949,121.4034718
粉寮北51號路口	40457.06118529004,2775223.817185584	25.0847419,121.4010765
西北食品	40349.380504970963,2774950.6930328	25.082279,121.400001
醒吾科技大學(東林里)	40158.3941098381,2774721.0656532906	25.080211,121.398101
馥都社區	38436.073933921594,2774417.5888371938	25.077516,121.381019
林口國宅	38019.529218457872,2773663.4384686309	25.070718,121.376869
林口國宅	37995.8228270959,2773590.4888722105	25.07006,121.376632
農會分處	37387.20150749429,2773510.7177528134	25.069355,121.370597
崇林國中	37279.395950104918,2773311.1562252096	25.067556,121.369523
麗林國小	37265.900299921515,2773413.4663388408	25.06848,121.369392
舊莊公園	62593.821047558587,2770488.8818175229	25.0412406,121.6203086
金德橋頭	62536.766272309891,2770638.5351592586	25.042594,121.61975
胡適國小	62308.411303154273,2770592.8073030268	25.0421906,121.617485
白雲國小	62433.614929204865,2771216.8311108518	25.047819,121.618754
福山里活動中心	62493.147353347762,2771437.866133119	25.049812,121.619354
捷運南港展覽館站(經貿一路)	62484.0582828595,2772078.8452789756	25.055599,121.619293
汐止行政中心(仁愛路)	55908.754630300566,2770087.6699006814	25.0378803,121.5540455
秀峰國小	66759.218808689562,2772906.3664517566	25.0628869,121.661703
秀峰國小	-22689.170761470246,2631093.7424824727	23.7837642,120.777363
水碓	47806.4521774335,2790474.3317414885	25.222207,121.474466
新昌圖書館	67066.314729303587,2773425.5129172322	25.06756,121.664772
汐止火車站(忠孝東路)	66913.672445964621,2773465.3052972835	25.067926,121.663261
汐止行政中心(新台五路)	65120.787177473467,2772615.8197164843	25.0603354,121.6454503
九份(九份派出所)	85050.008376148573,2778186.1094361022	25.1096302,121.8433101
舊道(九份老街)	-13465.544682674748,2730565.5453353086	24.6820267,120.866939
瓜山國小(戰俘營)	86427.346909928325,2778395.0430443706	25.111438,121.856979
分局	30188.171905293755,2765829.5465770359	25.0001687,121.29907
分局	46435.823306053004,2767229.1647106544	25.0123939,121.4600769
分局	45585.218773240507,2769859.4236899423	25.0361659,121.4517364
分局	37896.572621104919,2758135.5383977252	24.9305323,121.3752242
分局	49436.751206535235,2772420.2055390351	25.0591637,121.4899948
分局	64541.00247605281,2790336.74434244	25.2203385,121.6405382
分局	13482.1824438689,2657614.6699408237	24.0233432,121.1325378
分局	-43230.860913181939,2684908.9979505478	24.2692559,120.5742036
分局	-18116.2903126967,2715032.0701361927	24.5417302,120.8211819
分局	52517.390076166375,2766939.8113589538	25.009583,121.520319
分局	29008.570032460426,2752555.4098898852	24.8803483,121.2871061
分局	-31193.678440102834,2649566.1448852997	23.9504198,120.6935212
分局	76410.602531104683,2738892.716893272	24.7553647,121.755487
分局	-70996.739322571026,2608672.9444517349	23.5799093,120.3044367
分局	-1374.890899710819,2743785.3482138575	24.8014426,120.9864009
分局	-58063.344753737205,2597490.444953687	23.4794504,120.4315752
九份	85099.115075197566,2778347.9048149604	25.111088,121.843807
舊道	-13465.544682674748,2730565.5453353086	24.6820267,120.866939
福山宮	85411.425030258964,2777959.3099953244	25.1075624,121.8468793
九份停車場	85066.666286612264,2778282.0564659825	25.1104954,121.8434812
金山(南勢)	63048.424218495384,2790297.9801309467	25.220052,121.625724
金山(南勢)	63019.165242224,2790305.9303401755	25.220125,121.625434
金山(南勢)	62003.317483341612,2788656.5981391482	25.2052778,121.6152778
金山(南勢)	63807.403736094973,2789897.2049641679	25.2164019,121.6332374
金山(南勢)	61624.725693808614,2789940.1735312208	25.216881,121.611579
金山醫院	63471.583948217594,2790395.8843397973	25.220918,121.629928
金山醫院	63295.490533473596,2790257.1496163239	25.219673,121.628174
田心子	48209.425088797158,2773549.9877651846	25.069403,121.47787
龜子山	-16727.028888499979,2633991.102107334	23.81,120.8358333
龜子山	-54495.310271478258,2570632.7893653451	23.237051,120.467473
龜子山	50490.620593423206,2789694.06286064	25.215075,121.501076
金山中學	64009.650623529968,2790740.9227899085	25.22401,121.635284
清泉里	-38878.62852868651,2683301.4237502427	24.254855,120.617113
三界橋	62773.235627733382,2791297.7465473381	25.229089,121.623039
聖德宮	62457.493227793668,2791517.7748498973	25.2310885,121.6199154
法鼓山園區	62108.784177741356,2792363.7411242709	25.23874,121.616493
金山鄉公所	64138.8886611155,2790557.8741097609	25.222352,121.636558
橫溪橋	39930.642280889457,2758767.2396221086	24.9361834,121.3953819
